objectid,globalid,which_of_the_following_are_floo,please_describe_the_weather_con,please_indicate_the_approximate,please_enter_the_current_time,please_enter_todays_date,what_caused_the_flooding_,neighborhood_andor_borough_,x,y
83,81be8ead-517e-43ae-87a9-4d0e237a1a4b,"roads_streets,sidewalks",sunny,6,15:37,2020-11-13T17:00:00,,,-73.7889999029175,40.8534300238143
84,be60dcdb-d6f4-4aa4-8c78-9448ae9a2276,"roads_streets,sidewalks,other",sunny,10,15:48,2020-11-13T17:00:00,,,-73.801679073241,40.8642999423852
85,edf92138-ed69-483a-804d-f721a94785a8,"roads_streets,sidewalks,other",sunny,,14:07,2020-11-16T17:00:00,,,-73.8127362589081,40.864257370036
86,45a593d5-9ee7-47e2-876f-549825b16858,"roads_streets,sidewalks,property",sunny,6,22:32,2020-11-16T17:00:00,,,-73.8015980700432,40.8642490375725
87,6e2b7e67-2a21-4731-8d10-3f727e1ea152,"roads_streets,sidewalks",sunny,9,22:47,2020-11-17T17:00:00,,,-73.8016179996273,40.8643956215822
88,179f6d24-6f9d-4302-89f5-3ce3405eb24c,"roads_streets,sidewalks",sunny,,08:45,2020-10-17T17:00:00,,,-73.8283699999999,40.65216
89,abb9736b-1db0-49f3-8a07-6f78674dbee1,"roads_streets,sidewalks,parking_lots,property",light_rain,,10:00,2016-02-09T17:00:00,,,-73.7714983694722,40.5958730971279
90,450bdde3-0270-4f4a-8580-a8a55c77a097,sidewalks,light_wind,,08:41,2020-11-20T17:00:00,,,-74.0010528973275,40.5770611332097
91,55537cd2-30eb-4267-8589-ba2552bd9153,roads_streets,other,8,11:18,2020-11-24T17:00:00,,,-73.8606668372505,40.6726094129944
92,90bcaca6-0dc5-4501-8921-5819a57aae7b,roads_streets,other,7,12:00,2020-11-24T17:00:00,,,-73.7640606396664,40.5928133829313
93,5347aa6e-40e4-4d1f-84f0-e12c627441c4,roads_streets,other,6,12:18,2020-11-24T17:00:00,,,-73.7698592985251,40.5920742360848
94,bcc968ff-fb69-4855-8e5a-dee1184e7e12,roads_streets,sunny,8,13:35,2020-11-24T17:00:00,,,-73.8523638854481,40.6616160719359
95,34a7bf7f-75e4-4a33-82a7-795fe6bd4c0f,property,heavy_rain,6,10:53,2020-11-30T17:00:00,,,-73.8523638854481,40.6616160719359
96,d1946373-d558-450c-8cee-c7b02f0cd64d,"roads_streets,sidewalks","heavy_wind_gusts,heavy_rain",10,12:08,2020-11-30T17:00:00,,,-73.8578834307652,40.6707967617126
97,86669b88-9288-4d49-8046-44d8e2ef8b3b,roads_streets,sunny,10,10:53,2020-11-27T17:00:00,,,-73.7702139624254,40.5939203106905
98,e9c0d323-06be-451c-84c4-b2570d8d619f,"roads_streets,sidewalks,property",sunny,,10:30,2020-09-18T17:00:00,,,-73.8299198932154,40.6560000570752
99,95277a35-a2d5-4143-8d46-82d5a4412cb7,"roads_streets,sidewalks,property",light_wind,,07:45,2020-10-16T17:00:00,,,-73.8393336216735,40.6624550640587
100,f8fed17c-2fd8-432c-8c0f-7f9668f7b6b6,"roads_streets,sidewalks,property",sunny,,14:27,2020-10-27T17:00:00,,,-73.8387805341589,40.662639108405
101,03b90d07-1005-46d4-8e24-4bdbcaf09849,"roads_streets,sidewalks,property",sunny,,10:11,2020-10-19T17:00:00,,,-73.8390172133883,40.6627391870928
102,933817e2-6664-4f93-8f34-b1b4121a34b6,roads_streets,"light_wind,light_rain",,08:42,2020-10-16T17:00:00,,,-73.8330226479552,40.6619071130224
